Clause/Provision Number,Title,Date,Prescribed In,Provision or Clause,UCF,IBR or FT,Fill In,Mod or Sub,App Dev,Supply FP,Supply CR,R&D FP,R&D CR,Service FP,Service CR,Construction FP,Construction CR,Time & Material/ Labor Hour,Archetecture & Engineering,Idefinite Delivery,Transportation,Simplified Acquisition Procedures,Commercial Items
1852.240-75,Security Classification Requirements,SEP 2025 (DEVIATION),1840.302-3,C,I,FT,X,,PCD 25-22,A,A,A,A,A,A,A,A,A,,A,A,A,A
1852.240-76,Security Requirements for Unclassified Information Technology Resources,JAN 2026 (DEVIATION),1840.303-2,C,I,IBR,,,PCD 26-03A,A,A,A,A,A,A,A,A,A,,A,A,A,A
1852.242-72,Denied Access to NASA Facilities,DEC 2025 (DEVIATION),1842.7001,C,H,IBR,,,PCD 25-51,A,A,A,A,A,A,A,A,A,,A,A,A,
1852.242-73,NASA Contractor Financial Management Reporting,DEC 2025 (DEVIATION),1842.7202,C,G,IBR,,,PCD 25-51,A,R,A,R,A,R,A,R,R,,A,R,,
1852.242-78,Emergency Medical Services and Evacuation,DEC 2025 (DEVIATION),1842.7003,C,I,IBR,,,PCD 25-51,A,A,A,A,A,A,A,A,A,,A,A,A,
1852.243-72,Equitable Adjustments,JUL 2025 (DEVIATION),1843.305-70,C,H,IBR,X,,PCD 25-07,,,,,,,O,,,,,,,
1852.245–70,Contractor request for Government provided property,JULY 2026 (DEVIATION),1845.107-70(a)(1),C,G,IBR,,,PCD 25-36,,A,,A,,A,,A,A,,,,,
1852.245–71,Installation - accountable Government property,DEC 2025 (DEVIATION),1845.107-70(b)(1),C,G,FT,,,PCD 25-36,A,A,A,A,A,A,A,A,A,A,,,,
1852.245–72,Liability for Government property furnished for repair or other services,DEC 2025 (DEVIATION),1845.107-70 (c),C,I,IBR,,,PCD 25-36,,,,,A,,,,A,,,,A,
1852.245–73,Financial reporting of NASA property in the custody of contractors,DEC 2025 (DEVIATION),1845.107-70(d),C,G,FT,X,,PCD 25-36,A,A,A,A,A,A,A,A,A,A,A,,A,
1852.245-74,Identification and marking of Government equipment,DEC 2025 (DEVIATION),1845.107-709 (e ),C,D,FT,X,,PCD 25-36,A,A,,A,A,A,A,A,A,,,,A,
1852.245-75,Property management changes,DEC 2025 (DEVIATION),1845.107-70(f),C,G,IBR,,,PCD 25-36,A,A,A,A,A,A,A,A,A,A,,,A,
1852.245-76,List of Government property furnished pursuant to FAR 52.245-1,DEC 2025 (DEVIATION),1845.107-70(g),C,G,FT,X,,PCD 25-36,A,A,A,A,A,A,A,A,A,A,,,A,
